surah,verse,mushaf_index,n_words,n_segments,n_letters_rasm,n_root_tokens,n_lemma_tokens,n_pos_segments,n_hapax_root_tokens,frac_hapax_root_tokens,n_hapax_lemma_tokens,frac_hapax_lemma_tokens,mean_log10_root_freq,median_log10_root_freq,min_root_freq,mean_root_surprisal_bits,sum_root_surprisal_bits,frac_root_tokens_freq_le5,n_root_types,ttr_root,root_simpson_repeat,rime_pausal,rime_class_size,fasila_readable,share_nominal,share_verbal,share_pronominal,share_particle,segments_per_word,frac_derived_stems
26,115,3047,5,5,16,2,4,5,0,0.0,0,0.0,2.4162225205870556,2.4162225205870556,130,7.582199379382875,15.16439875876575,0.0,2,1.0,0.0,Iن,1293,1,0.4,0.0,0.2,0.4,1.0,0.5
26,116,3048,8,14,35,4,8,8,0,0.0,1,0.125,2.3183410025140425,2.445601413630148,14,7.907354744239843,31.62941897695937,0.0,4,1.0,0.0,Iن,1293,1,0.25,0.375,0.0,0.375,1.75,0.25
26,117,3049,5,9,16,4,5,5,0,0.0,0,0.0,2.87426306666784,2.9053850056171817,282,6.060621620759568,24.24248648303827,0.0,4,1.0,0.0,Uن,1751,1,0.4,0.4,0.0,0.2,1.8,0.25
26,118,3050,9,18,40,6,9,9,0,0.0,0,0.0,2.2441397886839702,2.321390487464578,38,8.153845841136704,48.92307504682022,0.0,4,0.6666666666666666,0.13333333333333333,Iن,1293,1,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.4444444444444444,2.0,0.3333333333333333
26,119,3051,6,13,27,3,6,6,0,0.0,0,0.0,1.2664468498178605,1.3979400086720377,3,11.401671482929027,34.20501444878708,0.3333333333333333,3,1.0,0.0,Uن,1751,1,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,2.1666666666666665,0.3333333333333333
26,120,3052,4,6,18,3,4,4,0,0.0,0,0.0,1.6850049976744161,1.3617278360175928,21,10.011251412220316,30.033754236660947,0.0,3,1.0,0.0,Iن,1293,1,0.25,0.25,0.0,0.5,1.5,0.3333333333333333
26,121,3053,8,11,29,4,8,8,0,0.0,0,0.0,2.7229458773467896,2.76302611899274,167,6.563286443204555,26.25314577281822,0.0,4,1.0,0.0,Iن,1293,1,0.375,0.125,0.125,0.375,1.375,0.25
26,122,3054,5,10,21,3,4,5,0,0.0,0,0.0,2.5323242450960355,2.530199698203082,119,7.1965177988716205,21.58955339661486,0.0,3,1.0,0.0,Iم,551,1,0.6,0.0,0.2,0.2,2.0,0.0
26,123,3055,3,4,15,3,3,3,0,0.0,0,0.0,2.3199023409615864,2.450249108319361,63,7.902168090185319,23.706504270555957,0.0,3,1.0,0.0,Iن,1293,1,0.6666666666666666,0.3333333333333333,0.0,0.0,1.3333333333333333,0.6666666666666666
26,124,3056,7,11,24,4,6,7,0,0.0,0,0.0,2.2380358452135884,2.196945469501399,21,8.17412270244057,32.69649080976228,0.0,4,1.0,0.0,Uن,1751,1,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,1.5714285714285714,0.25
